['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['कुंगुमम', 'तमिलभाषी', 'பல்கலைக்கழகம்', 'तमिलुकु', 'तमिल_नाडु', 'तमिल:தீபாவளி', 'तमिल्']
['तंज़ानिय', 'तनज़ानिया', 'लज़ानिया', 'ज़ानिया', 'तानज़ानिया', 'रूमानियाई', 'टानज़ानिया']
['कौलीज़', 'ख़लीज़', 'हेलीज़', 'बेनिटिटेलीज़', 'द्जीबाउती', 'मैक’अलीज़', 'सिकाडिआयडेलीज़']
['त्रिनिडैड', 'त्रिनिती', 'त्रिनिता', 'त्रिनिदाद', 'त्रिनिताते', 'त्रिनितारिया', 'त्रिनाड़ी']
['ट्यूनीशियन', 'त्यूनीशिया', 'ट्यूनीशिआ', 'टयूनीशिया', 'ट्यूनिशियाई', 'विनीशियाई', 'ट्यूनीषिया']
['ट्यूनीशियन', 'त्यूनीशिया', 'ट्यूनीशिआ', 'टयूनीशिया', 'ट्यूनिशियाई', 'विनीशियाई', 'ट्यूनीषिया']
['युगांश', 'युगांक', 'युगांडाई', 'युगांडाएन्टेब', 'युगांडी', 'युगांधर', 'युगांतरों']
['उर्दू:ڈاکٹر', 'उर्दूं', 'उर्दू:مخمس', 'उर्दूए', 'हिंदी', 'उर्दूاتر', 'हिन्दी']
['वाहनांे', 'वाहनांतरण', 'वाहनट्रक', 'माहनीय', 'वाहन_बीमा', 'वाहनमुक्त', 'वाहनोँ']
['हृदय_शल्य_चिकित्सा', 'बीमाचिकित्सा', 'ऊर्जा_चिकित्सा', 'संगीत_चिकित्सा', 'मर्म_चिकित्सा', 'हैचिकित्सा', 'सुगंध_चिकित्सा']
['अस्थिमा', 'अस्थिशेष', 'अस्थिल', 'अस्थिपोषक', 'अस्थिकृत', 'अस्थितैल', 'जातिहीन']
['वियतनामी：Án', 'वियतनामese', 'वियतनामीज़', 'भियतनामी', 'वियतनामीकरण', 'वीयतनामी', 'वियतनामकी']
['वियतनामी：Án', 'वियतनामese', 'वियतनामीज़', 'भियतनामी', 'वियतनामीकरण', 'वीयतनामी', 'वियतनामकी']
['क्वाचाMXN', 'तंबाला', 'क्वाचि', 'स्वाचा', 'MWK', 'बैँकनोट', 'क्वाची']
['किवी', 'कीवीफ्रूट', 'वानाकीवी', '362.585', '682.585', 'हेजलवुड', 'एवोकैडो']
['जिम्बाबवे', 'जिम्बाम्वे', 'जिम्बाम्बे', 'जिम्बाव्बे', 'अमेरिकी_ओपन_टेनिस_के_पुरुष_एकल_विजेताओं_की_सूची', 'जिम्बाव्वे', 'articleजिम्बाब्वे']
['ख़ानदानी', 'ख़ानदानों', 'ख़ानदान', 'ख़ानी', 'ख़ानए', 'ख़ानदूसरे', 'ख़ान6']
['गुलाबीपन', 'कीगुलाबी', 'एमारैंथ', 'हैगुलाबी', '11गुलाबी', 'हैंगुलाबी', 'उमंगगुलाबी']
['आशानैन', 'आशान्त', 'आशानई', 'लभान्वित', 'आशावान', 'उत्साहित', 'आशान्ति']
['निराशाजन', 'निराशाज', 'निराशामय', 'निराशाजन्य', 'निराशापूर्ण', 'निराशाभरे', 'निराशजनक']
['क्षैतिजिक', 'क्षैतिजतः', 'क्षैतिज़', 'डिकैलेज', 'sक्षैतिज', 'क्षैतिजकारी', 'एकक्षैतिज']
['खड़े', 'खडा', 'आखड़ा', 'मेंखड़ा', 'खड़ी', 'तनकर', 'खड़ाकर']
['आसीनूस्', 'एंआसीन', 'ऐंआसीन', 'आसीनी', 'आसीना', 'काबिज', 'आसीनो']
['इकट्ठा', 'इकठ्ठा', 'एकत्रिक', 'इक्कठा', 'इक्ट्ठा', 'इकट्ठे', 'एकत्रिात']
['ज़ूनोसेस', 'saṅgha', 'पेटजनित', 'कफजनित', 'भोगजनित', 'यौनजनित', 'तदजनित']
['प्रगणनीय', 'अग्रगणनीय', 'गणनीयता', 'परिगणनीय', 'वेवपेज', 'Mawlawī', 'इनवेड']
['बेहिसाबकुछ', 'हैंबेहिसाब', 'बेहिसाबी', 'वेहिसाब', 'केहिसाब', 'बेहिसी', 'बेशुमार']
['तरंगिनि', 'तरंगमयी', 'उमंगित', 'तरंगिणि', 'तरंगंे', 'तरंगिण', 'तरंगायित']
['अक्षम', 'सेसक्षम', 'विसक्षम', 'बहुसक्षम', 'असक्षम', 'असमर्थ', 'करने']
['अनुपेक्षणीय', 'पेक्षित', 'आत्मअवलोकन', 'प्राचीन_रोम_में_धर्म', 'स्रोतTopYapsशेयर', 'प्राचीन_रोमन_भार_एवं_मापन', 'नेताऊंची']
['घनिष्ठतः', 'घनिष्ठतापूर्वक', 'घनिष्ठतर', 'घनिष्ठतया', 'घनिष्ठतम', 'धनिष्ठता', 'घनिष्टता']
['बेपरवा', 'बेपरवाई', 'वेपरवाह', 'संहाथन', 'लापरवाह', 'परबेखबर', 'वेपरवाह.सबके']
['मुखापेक्षक', 'उपेक्ष', 'गवेक्षक', 'प्रयवेक्षक', 'उपेक्षेत', 'उपेक्षनीय', 'सापेक्षक']
['मासाहारी', 'मांसाहारियों', 'शाकाहारी', 'मांसाहरी', 'मांसाहार', 'गोमांसाहारी', 'मांसाहर']
['अशाकाहारी', 'माँसाहारी', 'शाकाहार', 'षाकाहारी', 'हैशाकाहारी', 'मांसाहारी', 'शाकाहारियों']
['betrayed', 'Betrayed', 'prayed', 'arrayed', 'frayed', 'sprayed', 'Kashirao']
['सर्वभक्षक', 'सर्वभक्षियों', 'मानवभक्षी', 'जंतुभक्षी', 'माँसभक्षी', 'बहुभक्षी', 'मधुभक्षी']
['कीटभक्षक', 'कीटभक्षियों', 'मधुभक्षी', 'शाकभक्षी', 'तृणभक्षी', 'फलभक्षी', 'बहुभक्षी']
['पुच्छहीन', 'पुच्छलतारा', 'पुच्छण', 'पुच्छऽ', 'पुच्छल्ला', 'ढोलहो', 'पुच्छो']
['निस्पृहा', 'निस्पृहता', 'निस्पृहः', 'विस्पृह', 'निस्स्पृह', 'स्पृह', 'नि:स्पृह']
['निश्चयात्मकता', 'निश्चयात्मिका', 'अनिश्चयात्मकता', 'निश्चयाय', 'निश्चयोत्तर', 'निश्चयार्थक', 'निश्चयार्थ']
['सक्रियता', 'सक्रीय', 'सक्रिया', 'अल्पसक्रिय', 'सपर्पित', 'पूर्वसक्रिय', 'सक्रियणकारी']
['अकचकायल', 'ज\u200dिले', 'कठिनंकुळम', 'कायम्कुळम', 'कायलजब', 'मुरीद', 'नडयरा']
['आश्वस्त्', 'आश्वस्ती', 'आवश्वस्त', 'आश्वस्ति', 'अनाश्वस्त', 'आश्वस्तकारी', 'आश्वसत']
['अपरिवर्तन्यील', 'अपरिवार्तनीय', 'अंतरपरिवर्तनीय', 'अपरिवर्तन', 'अंतःपरिवर्तनीय', 'अपरिवर्तनशील', 'नवपरिवर्तनीय']
['परिवर्तितकर', 'धर्मपरिवर्तित', 'परिवर्तन', 'यांत्रिक', 'संपरिवर्तित', 'बदल', 'आपरिवर्तित']
['अपरिवर्तन्यील', '९अपरिवर्तित', 'अपरिवर्तन', 'अपरिवर्ती', 'अपरिवर्तनित', 'अपरिवर्तीं', 'अदूषित']
